-256.1557,29.7416,200.0138,0.1271654,0.9918643,-0.0058408
-253.189,29.1988,200.0096,0.2265852,0.9739829,-0.0040498
-250.8938,28.5589,199.9995,0.3034057,0.9528615,-0.0000420
-248.5366,27.7011,199.9888,0.3820213,0.9241437,0.0042553
-246.9586,27.0044,199.9839,0.4347916,0.9005093,0.0062609
-245.2252,26.0945,199.9831,0.4937136,0.8696000,0.0065362
-244.5487,25.6983,199.984,0.5164421,0.8563002,0.0061184
-243.6231,25.1085,199.9863,0.5476176,0.8367122,0.0052599
-242.7054,24.5065,199.9885,0.5780504,0.8159893,0.0043942
-241.9545,23.938,199.99,0.6032093,0.7975738,0.0038082
-241.21,23.361,199.9916,0.6277817,0.7783828,0.0032184
-240.27949999999998,22.5943,199.9927,0.6587119,0.7523904,0.0027027
-239.5071,21.8909,199.9932,0.6843397,0.7291591,0.0025016
-238.7524,21.1686,199.9936,0.7091487,0.7050552,0.0022974
-238.2099,20.6003,199.9939,0.7270245,0.6866078,0.0022462
-237.5345,19.8455,199.9946,0.7491668,0.6623785,0.0019439
-236.8619,19.0883,199.9953,0.7705020,0.6374355,0.0016395
-236.3675,18.4542,199.9967,0.7868451,0.6171495,0.0010944
-235.9139,17.8433,199.9981,0.8018856,0.5974773,0.0005266
-235.4291,17.1943,199.999,0.8175802,0.5758148,0.0000226
-234.9761,16.5223,199.9999,0.8326164,0.5538501,-0.0002121
-234.574,15.8788,199.9997,0.8464233,0.5325107,-0.0001139
-234.0039,14.9462,199.998,0.8656534,0.5006434,0.0005880
-233.6172,14.2606,199.9962,0.8786075,0.4775427,0.0013567
-233.10660000000001,13.2457,199.994,0.8963072,0.4434280,0.0022257
-232.6054,12.2261,199.9918,0.9126824,0.4086579,0.0030915
-232.1227,11.026,199.9933,0.9295442,0.3687024,0.0024735
-231.6552,9.8199,199.9948,0.9446574,0.3280533,0.0018509
-231.336,8.7689,199.9946,0.9560514,0.2931925,0.0019725
-231.0197,7.7171,199.9944,0.9661594,0.2579374,0.0020915
-230.8468,7.0327,199.9921,0.9719614,0.2351214,0.0029962
-230.5624,5.7298,199.988,0.9814632,0.1915952,0.0046192
-230.3688,4.649,199.9857,0.9878228,0.1554858,0.0054963
-230.2399,3.655,199.9865,0.9924613,0.1224488,0.0051868
-230.18110000000001,3.1267,199.9877,0.9944762,0.1048566,0.0047177
-230.076,2.0688,199.9901,0.9975693,0.0695789,0.0037753
-230.0336,0.7793,199.9925,0.9996412,0.0266368,0.0028131
-230.0101,-0.5108,199.9949,0.9998646,-0.0163547,0.0018458
-230.0754,-1.7631,199.9927,0.9982830,-0.0585133,0.0027001
-230.15800000000002,-3.0144,199.9905,0.9949239,-0.1005677,0.0035496
-230.2204,-3.5596,199.99,0.9928998,-0.1188921,0.0038244
-230.3523,-4.4916,199.9897,0.9886641,-0.1500912,0.0039849
-230.4148,-4.8789,199.9899,0.9866217,-0.1629808,0.0038712
-230.5474,-5.6521,199.9904,0.9820329,-0.1886744,0.0036420
-230.6756,-6.2671,199.9918,0.9779648,-0.2087470,0.0030750
-230.9544,-7.4102,199.9949,0.9690056,-0.2470322,0.0017911
-231.245,-8.5504,199.9981,0.9585467,-0.2849352,0.0005045
-231.6498,-9.7358,199.9992,0.9454941,-0.3256391,0.0001155
-232.0668,-10.917,200.0003,0.9307139,-0.3657479,-0.0002738
-232.4678,-11.8501,200.0005,0.9176446,-0.3974019,-0.0003075
-232.8688,-12.7832,200.0007,0.9034992,-0.4285897,-0.0003409
-233.21620000000001,-13.4904,200.0,0.8919881,-0.4520588,-0.0001718
-233.5822,-14.1882,199.9994,0.8798676,-0.4752189,-0.0000025
-234.026,-14.9754,199.998,0.8653674,-0.5011376,0.0005942
-234.4735,-15.7606,199.9965,0.8501037,-0.5266140,0.0011904
-235.1977,-16.8343,199.9951,0.8269090,-0.5623330,0.0017714
-235.9306,-17.902,199.9936,0.8022141,-0.5970319,0.0023492
-236.7164,-18.8815,199.9927,0.7766961,-0.6298698,0.0027017
-237.5162,-19.8497,199.9917,0.7498346,-0.6616182,0.0030495
-237.8866,-20.2549,199.9912,0.7375615,-0.6752719,0.0033034
-238.4363,-20.8362,199.9905,0.7192700,-0.6947211,0.0036323
-238.97129999999999,-21.3662,199.9899,0.7016624,-0.7124991,0.0038593
-239.6894,-22.0678,199.989,0.6775041,-0.7355072,0.0041581
-240.5587,-22.8203,199.9896,0.6485053,-0.7611995,0.0040227
-241.436,-23.5634,199.9901,0.6185331,-0.7857492,0.0038812
